datetime,emotions
2021-06-02_16:48:06:062223,Happy
2021-06-02_16:48:06:939424,Happy
2021-06-02_16:48:07:507238,Neutral
2021-06-02_16:48:08:145011,Neutral
2021-06-02_16:48:08:703652,Neutral
2021-06-02_16:48:09:206212,Neutral
2021-06-02_16:48:09:742643,Neutral
2021-06-02_16:48:10:262675,Neutral
2021-06-02_16:48:10:810506,Neutral
2021-06-02_16:48:11:292029,Happy
2021-06-02_16:48:12:128854,Happy
2021-06-02_16:48:12:548035,Happy
2021-06-02_16:48:13:086163,Happy
2021-06-02_16:48:13:513488,Neutral
2021-06-02_16:48:14:392701,Neutral
2021-06-02_16:48:14:819333,Neutral
2021-06-02_16:48:15:244787,Neutral
2021-06-02_16:48:15:674478,Neutral
2021-06-02_16:48:16:129017,Neutral
2021-06-02_16:48:16:603986,Sad
2021-06-02_16:48:20:302920,Neutral
2021-06-02_16:48:20:790098,Neutral
2021-06-02_16:48:21:235609,Sad
2021-06-02_16:48:21:730417,Sad
2021-06-02_16:48:22:193299,Neutral
2021-06-02_16:48:22:659827,Sad
2021-06-02_16:48:23:221236,Fear
2021-06-02_16:48:24:099209,Neutral
2021-06-02_16:48:24:535095,Happy
2021-06-02_16:48:25:002514,Neutral
2021-06-02_16:48:25:412311,Neutral
2021-06-02_16:48:25:853694,Neutral
2021-06-02_16:48:26:301482,Neutral
2021-06-02_16:48:26:710711,Sad
2021-06-02_16:48:27:118983,Neutral
2021-06-02_16:48:28:888723,Neutral
2021-06-02_16:48:29:315900,Happy
2021-06-02_16:48:29:784610,Happy
2021-06-02_16:48:30:593342,Sad
2021-06-02_16:48:31:018628,Happy
2021-06-02_16:48:31:900444,Neutral
2021-06-02_16:48:32:368688,Neutral
2021-06-02_16:48:32:888870,Neutral
2021-06-02_16:48:33:424255,Happy
2021-06-02_16:48:33:983622,Neutral
2021-06-02_16:48:34:552754,Neutral
2021-06-02_16:48:36:634938,Happy
2021-06-02_16:48:37:063416,Happy
2021-06-02_16:48:37:493414,Happy
2021-06-02_16:48:37:988821,Happy
2021-06-02_16:48:38:495674,Happy
2021-06-02_16:48:38:977699,Happy
2021-06-02_16:48:39:419362,Happy
2021-06-02_16:48:39:906010,Happy
2021-06-02_16:48:40:376032,Happy
2021-06-02_16:48:40:823620,Happy
2021-06-02_16:48:41:278012,Happy
2021-06-02_16:48:41:743998,Happy
2021-06-02_16:48:42:250985,Happy
2021-06-02_16:48:42:679152,Happy
2021-06-02_16:48:43:181340,Happy
2021-06-02_16:48:43:630443,Happy
2021-06-02_16:48:44:075086,Happy
2021-06-02_16:48:44:595872,Happy
2021-06-02_16:48:47:148619,Fear
2021-06-02_16:48:47:684809,Neutral
2021-06-02_16:48:48:219560,Neutral
2021-06-02_16:48:48:741375,Neutral
2021-06-02_16:48:49:234426,Neutral
2021-06-02_16:48:49:651704,Neutral
2021-06-02_16:48:50:059589,Sad
2021-06-02_16:48:50:484130,Neutral
2021-06-02_16:48:52:315115,Sad
2021-06-02_16:48:53:036597,Neutral
2021-06-02_16:48:53:591909,Happy
2021-06-02_16:48:54:152211,Neutral
2021-06-02_16:48:54:692848,Neutral
2021-06-02_16:48:55:176691,Neutral
2021-06-02_16:48:55:619097,Neutral
2021-06-02_16:48:56:120681,Neutral
2021-06-02_16:48:56:515398,Neutral
2021-06-02_16:48:56:891039,Neutral
2021-06-02_16:48:57:261810,Neutral
2021-06-02_16:48:57:656969,Neutral
2021-06-02_16:48:58:044866,Neutral
2021-06-02_16:48:58:608628,Neutral
2021-06-02_16:48:59:015566,Neutral
2021-06-02_16:48:59:389185,Neutral
2021-06-02_16:48:59:765445,Neutral
2021-06-02_16:49:00:158747,Neutral
2021-06-02_16:49:00:527558,Neutral
2021-06-02_16:49:00:903552,Neutral
2021-06-02_16:49:01:284464,Neutral
2021-06-02_16:49:01:680905,Neutral
2021-06-02_16:49:02:057988,Neutral
2021-06-02_16:49:02:428804,Neutral
2021-06-02_16:49:02:799915,Neutral
2021-06-02_16:49:03:180131,Neutral
2021-06-02_16:49:03:548617,Neutral
2021-06-02_16:49:03:935495,Neutral
2021-06-02_16:49:04:329437,Neutral
2021-06-02_16:49:04:768055,Neutral
2021-06-02_16:49:05:146341,Neutral
2021-06-02_16:49:05:565962,Neutral
2021-06-02_16:49:05:964714,Neutral
2021-06-02_16:49:06:366625,Neutral
2021-06-02_16:49:06:765528,Neutral
2021-06-02_16:49:07:140079,Neutral
2021-06-02_16:49:07:515661,Neutral
2021-06-02_16:49:07:894970,Neutral
2021-06-02_16:49:08:272994,Neutral
2021-06-02_16:49:08:639444,Neutral
2021-06-02_16:49:09:034916,Neutral
2021-06-02_16:49:09:511345,Neutral
2021-06-02_16:49:09:915947,Neutral
2021-06-02_16:49:10:302675,Neutral
2021-06-02_16:49:10:708022,Neutral
2021-06-02_16:49:11:203287,Neutral
2021-06-02_16:49:11:819571,Neutral
2021-06-02_16:49:12:392808,Neutral
2021-06-02_16:49:14:329956,Sad
2021-06-02_16:49:14:887427,Neutral
2021-06-02_16:49:15:484312,Sad
2021-06-02_16:49:16:098820,Sad
2021-06-02_16:49:16:502780,Sad
2021-06-02_16:49:16:909885,Sad
2021-06-02_16:49:17:353974,Sad
2021-06-02_16:49:17:773170,Sad
2021-06-02_16:49:18:184480,Sad
2021-06-02_16:49:18:604312,Sad
2021-06-02_16:49:19:025177,Sad
2021-06-02_16:49:19:488054,Sad
2021-06-02_16:49:19:927385,Sad
2021-06-02_16:49:20:341653,Sad
